name,R@1000,RR@10,AP@1000,nDCG@10
"BM25, dbpedia",0.660032096824192,0.7206438492063494,0.27924869640029476,0.398388272101314
"TF-IDF, dbpedia",0.6600727790714099,0.7095307539682542,0.27725381629122187,0.39485223117141116
"DeepCT, dbpedia",0.6687384324624817,0.6609880952380952,0.2674485425689966,0.3685871393807204
"Splade, dbpedia",0.7830428864405817,0.7567371031746031,0.3177000263081445,0.4290209711159467
"unicoil, dbpedia",0.6104751537853536,0.6922509920634923,0.2642383115436934,0.37995357098408156
"deepimpact, dbpedia",0.627338648192472,0.7182797619047618,0.2773055682128267,0.3982372683068587
