,name,R@1000,RR@10,AP@1000,nDCG@10
0,"BM25, fiqa",0.7742451178793778,0.3848612335880854,0.26524531204989593,0.31570786834016273
1,"TF-IDF, fiqa",0.7689467639699127,0.3848030570252793,0.26337048228275556,0.3135820334278752
2,"DeepCT, fiqa",0.7725530984790248,0.3857093866353124,0.2643377424495932,0.31593641515874904
3,"Splade, fiqa",0.8416030728530729,0.4275799774642364,0.3001168968873862,0.35635767622165215
4,"unicoil, fiqa",0.7325789693845252,0.3808519498334312,0.26298440112717114,0.3139471214314618
5,"deepimpact, fiqa",0.7474888922805595,0.3790037722908091,0.25801805287709534,0.309562207909451
