,name,R@1000,RR@10,AP@1000,nDCG@10
0,"BM25, nfcorpus",0.36062098059945474,0.5460735171261487,0.156601630494336,0.3348278168486287
1,"TF-IDF, nfcorpus",0.3629468531913492,0.5505675954592364,0.15541202359046433,0.3337692104684601
2,"DeepCT, nfcorpus",0.3512457044061056,0.5340594132389798,0.1516196122006175,0.3293596552585596
3,"Splade, nfcorpus",0.579127914011901,0.5538675119170473,0.17197074175281055,0.344562868388694
4,"unicoil, nfcorpus",0.44531904075057954,0.5419062361786818,0.16208095597010247,0.3315794217919146
5,"deepimpact, nfcorpus",0.32495442488625736,0.5369526758071651,0.14940512940072637,0.3249399071855697
