,name,R@1000,RR@10,AP@1000,nDCG@10
0,"BM25, scifact",0.97,0.6619933862433862,0.6561911509870213,0.6981818559576081
1,"TF-IDF, scifact",0.97,0.6576785714285713,0.6517652919162292,0.6910849406346034
2,"DeepCT, scifact",0.97,0.6563835978835977,0.6482469892311837,0.68861613981611
3,"Splade, scifact",0.99,0.6490899470899468,0.6450395458766258,0.6813648922860717
4,"unicoil, scifact",0.9676666666666667,0.6610806878306877,0.6540126727485432,0.6914425056534582
5,"deepimpact, scifact",0.9555555555555554,0.6557526455026453,0.6477823868891226,0.6744651992213362
