name,R@1000,RR@10,AP@1000,nDCG@10
"BM25, quora",0.9926264904041673,0.836387341269837,0.8081719577433335,0.844815638094979
"TF-IDF, quora",0.9923857219933144,0.837751190476186,0.8089698273953544,0.8458474310342512
"DeepCT, quora",0.9896024241822714,0.7994738095238053,0.7721020637012121,0.8117722210233187
"Splade, quora",0.9987748373097349,0.8493767857142825,0.8218888295659817,0.8569853175415206
"unicoil, quora",0.984275742698471,0.7581809126984089,0.7279639996068223,0.771966921714077
"deepimpact, quora",0.9810242896847149,0.7657109920634881,0.7385037132450825,0.780858001284314
