name,R@1000,RR@10,AP@1000,nDCG@10
"BM25, dbpedia",0.660032096824192,0.5268194444444445,0.19755534959878573,0.27435140675563463
"TF-IDF, dbpedia",0.6600727790714099,0.5266051587301587,0.19751446368550327,0.2744495721527478
"DeepCT, dbpedia",0.6687384324624817,0.5618621031746031,0.23743323308607242,0.31852628455078763
"Splade, dbpedia",0.7830428864405817,0.7373382936507937,0.3176825858237049,0.4235424390730558
"unicoil, dbpedia",0.6105030252106034,0.6063412698412699,0.22326246189729024,0.3242560706058722
"deepimpact, dbpedia",0.6273858180037927,0.6122688492063492,0.2308203545826103,0.3328325501535651
