name,R@1000,RR@10,AP@1000,nDCG@10
"BM25, scifact",0.97,0.6324272486772485,0.6269966720109134,0.6721667420411603
"TF-IDF, scifact",0.97,0.6260211640211637,0.6194273307772156,0.6656352392410376
"DeepCT, scifact",0.97,0.6328346560846558,0.629969581756009,0.6674798233968295
"Splade, scifact",0.99,0.6443399470899468,0.6373988280093913,0.6781396618263129
"unicoil, scifact",0.9676666666666667,0.6444047619047617,0.6348640087984692,0.6717310203927294
"deepimpact, scifact",0.9555555555555554,0.6166679894179892,0.6096121669580618,0.6425572654046228
