name,R@1000,RR@10,AP@1000,nDCG@10
"BM25, fiqa",0.7742451178793778,0.31027091906721516,0.21038481187754499,0.2525888386645462
"TF-IDF, fiqa",0.7689467639699127,0.311291764648246,0.20996195891330718,0.25365865037326174
"DeepCT, fiqa",0.7725530984790248,0.329284856946894,0.2221004771400886,0.26458824753682403
"Splade, fiqa",0.8416030728530729,0.41966306584362123,0.29320393333291594,0.3464865004871329
"unicoil, fiqa",0.7325789693845252,0.33923059964726626,0.22570439194634426,0.2747124707072453
"deepimpact, fiqa",0.7474888922805595,0.30504788849696246,0.20456551239008977,0.25130339418975794
