name,R@1000,RR@10,AP@1000,nDCG@10
"BM25, nfcorpus",0.36062098059945474,0.5343776106934003,0.14888180173749874,0.32221949931359506
"TF-IDF, nfcorpus",0.3629468531913492,0.5327890805444986,0.1485855659943771,0.3229311907743954
"DeepCT, nfcorpus",0.3512457044061056,0.5224912772126394,0.14673259764967472,0.32001860212927963
"Splade, nfcorpus",0.579127914011901,0.5495245466607693,0.16837074335117505,0.33872008334400144
"unicoil, nfcorpus",0.44531904075057954,0.5362241387783183,0.15559970105519394,0.32457129212366453
"deepimpact, nfcorpus",0.3522157021418159,0.5744447107702141,0.15388735720369345,0.33817628246517983
