name,R@1000,RR@10,AP@1000,nDCG@10
"BM25, quora",0.9926264904041673,0.7583964285714236,0.7273251918181507,0.7675736488118933
"TF-IDF, quora",0.9923857219933144,0.758792499999995,0.7275513843463335,0.7676771972388411
"DeepCT, quora",0.9896024241822714,0.7370615476190441,0.7100303116688322,0.7498881968487225
"Splade, quora",0.9987748373097349,0.8234553571428527,0.7948932485425652,0.8319230372478743
"unicoil, quora",0.984275742698471,0.5937369841269802,0.5669228252470857,0.618789983436627
"deepimpact, quora",0.9810242896847149,0.6345653571428532,0.6078856236594234,0.6541102698033697
